,NPV,CAPEX,OPEX,revenue,revenue_coproduct,IRR,energy_generation,pathway,AA_price,AA_yield
0,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.01
1,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.02
2,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.03
3,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.04
4,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.05
5,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.060000000000000005
6,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.06999999999999999
7,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.08
8,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.09
9,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.09999999999999999
10,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.11
11,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.12
12,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.13
13,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.14
14,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.15000000000000002
15,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.16
16,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.17
17,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.18000000000000002
18,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.19
19,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.2
20,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.21000000000000002
21,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.22
22,-463267575.086037,1417594262.1230147,82081708.46470572,260300618.0544,164925573.12,3.001493093029395,696168211.1999999,"['Ip[milling]', 'Ip[SEP]', 'Ip[burn]']",40,0.23
