,NPV,CAPEX,OPEX,revenue,revenue_coproduct,revenue_final_product,IRR,energy_generation,pathway,PDC_price,PDC_yield
0,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.0
1,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.01
2,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.02
3,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.03
4,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.04
5,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.05
6,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.06
7,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.07
8,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.08
9,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.09
10,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.1
11,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.11
12,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.12
13,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.13
14,-35563299.89267373,1213391182.0837877,79452850.71371391,283674789.5256,236190845.88,0.0,9.402452984551712,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",0,0.14
